problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige initially had 7 goldfish + 12 catfish = 19 fishes in the pond. Now she has 15 fishes left. Therefore, 19 fishes - 15 fishes = 4 fishes disappeared. 

#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after they found 30 more pounds of strawberries. Let's break it down step by step.

1. Initially, Marco and his dad collected strawberries that weighed 22 pounds.
2. On the way back, they found 30 more pounds of strawberries.
3. After finding the additional strawberries, the total weight of strawberries is 22 pounds + 30 pounds = 52 pounds.
4. We know that Marco's strawberries now weigh 36 pounds.
5. To find the weight of Marco's dad's strawberries, we subtract Marco's strawberries from the total weight: 52 pounds - 36 pounds = 16 pounds.

Therefore, Marco's dad's strawberries now weigh 16 pounds.

#### 16",text
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 4 soda bottles a day.
We know that Debby bought 256 soda bottles.
If Debby drinks 4 soda bottles a day, we can divide the total number of soda bottles by the number of soda bottles she drinks per day to find out how many days the soda bottles would last.
256 soda bottles / 4 soda bottles per day = 64 days
Therefore, the soda bottles would last for 64 days.
#### 64.",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Olivia had 106 dollars in her wallet. After visiting the supermarket and the showroom, she had 26 dollars left. She spent 49 dollars at the showroom. 

To find out how much she spent at the supermarket, we need to subtract the amount she spent at the showroom from the total amount she had left after both visits. 

26 dollars (left after both visits) - 49 dollars (spent at the showroom) = -23 dollars

Since the result is negative, it means that Olivia spent more than she had left after the showroom visit. Therefore, she spent 23 dollars at the supermarket. 

#### 23",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has. We know that there are 30 rows, and each row contains 24 pencils. 

Let's break it down step by step:

1. Determine the number of pencils in each row: 24 pencils.
2. Determine the number of rows: 30 rows.
3. Multiply the number of pencils per row by the number of rows to find the total number of pencils.

Calculation:
24 pencils/row * 30 rows = 720 pencils

Therefore, Faye has 720 pencils.

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"1. The problem states that Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. We need to find out how many more marbles Ed had than Doug.
2. By problem, Ed had 45 marbles.
3. By problem, Doug lost 11 marbles. To find out how many marbles Doug had before losing any, we add the number of marbles he lost to the number of marbles he had: 11 marbles + 10 marbles = 21 marbles.
4. To find out how many more marbles Ed had than Doug, we subtract the number of marbles Doug had from the number of marbles Ed had: 45 marbles - 21 marbles = 24 marbles.
5. [Final solution] Thus, Ed had 24 more marbles than Doug. #### 24.",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Identify the initial number of children on the bus, which is 26.
Step 2: Identify the number of children who got on the bus at the bus stop, which is 38.
Step 3: Add the initial number of children to the number of children who got on the bus to find the total number of children on the bus now.

Calculation:
26 (initial children) + 38 (children who got on) = 64 (total children on the bus)

#### <answer>64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

1. Helen baked 31 cookies yesterday.
2. Helen baked 270 cookies this morning.
3. Helen baked 419 cookies the day before yesterday.

Now, let's add these numbers together:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 720

Helen baked a total of 720 cookies till last night.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested over 87 days. We know that they harvest 66 sacks per day and each sack contains 25 oranges. 

First, let's find out how many oranges are harvested in a day:
66 sacks/day * 25 oranges/sack = 1650 oranges/day

Next, we'll calculate the total number of oranges harvested over 87 days:
1650 oranges/day * 87 days = 143550 oranges

Therefore, after 87 days of harvest, they will have 143550 oranges.

#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many shirts the machine made yesterday and then calculate the time it took to make those shirts.

Step 1: Determine the number of shirts made yesterday.
Yesterday, the machine made 9 shirts.

Step 2: Calculate the time it took to make the shirts yesterday.
The machine can make 3 shirts per minute. To find out how many minutes it took to make 9 shirts, we divide the number of shirts by the rate of production:
9 shirts / 3 shirts per minute = 3 minutes

So, the machine worked for 3 minutes yesterday.

#### 3",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To find the total number of magazines, we need to multiply the number of magazines per bookshelf by the number of bookshelves. 

46 magazines/bookshelf * 10 bookshelves = 460 magazines

So, Bryan has 460 magazines in total. 

#### 460",text
