problem_id,question,reference,pred_multimodal,correct_multimodal,pred_text,correct_text
1,"Which of the following could Gordon's test show?

A) if the spacecraft was damaged when using a parachute with a 1 m vent going 200 km per hour
B) how steady a parachute with a 1 m vent was at 200 km per hour
C) whether a parachute with a 1 m vent would swing too much at 400 km per hour",B,B,True,"B) how steady a parachute with a 1 m vent was at 200 km per hour
#### B",True
2,"What is the name of the colony shown?

A) Maryland
B) New Hampshire
C) Rhode Island
D) Vermont",B,B,True,C) Rhode Island,False
5,"Which of these organisms contains matter that was once part of the lichen?

A) bilberry
B) mushroom",B,B,True,B,True
9,"What is the expected ratio of offspring with a woolly fleece to offspring with a hairy fleece? Choose the most likely ratio.

A) 0:4
B) 4:0
C) 2:2
D) 1:3
E) 3:1",B,B,True,B,True
10,"Which property do these three objects have in common?

A) shiny
B) slippery
C) opaque",C,C,True,C),True
13,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?

A) The magnitude of the magnetic force is the same in both pairs.
B) The magnitude of the magnetic force is smaller in Pair 1.
C) The magnitude of the magnetic force is smaller in Pair 2.",C,C,True,A,False
14,"What is the capital of Wyoming?

A) Phoenix
B) Baton Rouge
C) Honolulu
D) Cheyenne",D,D,True,D) Cheyenne,True
15,"Is the following statement about our solar system true or false?
The largest planet is made mainly of ice.

A) true
B) false",B,B,True,B,True
16,"Which of the following organisms is the primary consumer in this food web?

A) copepod
B) black crappie
C) bacteria",A,A,True,A) copepod,True
17,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?

A) The magnetic force is stronger in Pair 2.
B) The magnetic force is stronger in Pair 1.
C) The strength of the magnetic force is the same in both pairs.",B,B,True,C,False
18,"Which better describes the Daintree rain forest ecosystem?

A) It has year-round rain. It also has soil that is poor in nutrients.
B) It has cold winters. It also has many different types of organisms.",A,A,True,A) It has year-round rain. It also has soil that is poor in nutrients.,True
19,"What is the capital of Delaware?

A) Montpelier
B) Trenton
C) Dover
D) Georgetown",C,C,True,C) Dover,True
21,"Which of these states is farthest north?

A) Maine
B) South Carolina
C) Kansas
D) Delaware",A,A,True,A) Maine,True
23,"What can Greta and Allie trade to each get what they want?

A) Greta can trade her tomatoes for Allie's sandwich.
B) Allie can trade her broccoli for Greta's oranges.
C) Allie can trade her almonds for Greta's tomatoes.
D) Greta can trade her tomatoes for Allie's broccoli.",D,D,True,D,True
24,"What is the capital of Colorado?

A) Boulder
B) Phoenix
C) Colorado Springs
D) Denver",D,D,True,D) Denver,True
29,"Which continent is highlighted?

A) Africa
B) North America
C) South America
D) Asia",D,D,True,C) South America,False
34,"Identify the question that Chase's experiment can best answer.

A) Do cardinals eat more seeds per visit from feeders containing sunflower seeds compared to feeders containing flax seeds?
B) Do cardinals visit feeders containing sunflower seeds more often than feeders containing flax seeds?",B,A,False,"B) Do cardinals visit feeders containing sunflower seeds more often than feeders containing flax seeds?
#### B",True
35,"Which material is this path made of?

A) plastic
B) brick",B,B,True,B,True
36,"Select the bird below.

A) cane toad
B) ostrich",B,A,False,B,True
39,"Which property do these three objects have in common?

A) blue
B) hard
C) sticky",A,A,True,"C) sticky
#### C",False
42,"Which of the following was a dependent variable in this experiment?

A) the temperature of the heating pad
B) the number of days until a seed germinated",B,B,True,"B) the number of days until a seed germinated
#### B",True
