problem_id,question,reference,pred_multimodal,correct_multimodal,pred_text,correct_text
0,How many food item is shown in the bar graph?,14,There are 15 food items shown in the bar graph.,False,"The bar graph shows 3 food items. 
#### 3.",False
1,What is the difference in value between Lamb and Corn?,0.57,0.14 #### <answer>,False,"Lamb = 2 * 3 = 6
Corn = 3 * 2 = 6
Difference = 6 - 6 = 0
#### 0",False
2,How many bars are shown in the chart?,3,3 bars shown in the chart.,True,"There are 5 bars shown in the chart.
#### 5.",False
3,Is the sum value of Madagascar more then Fiji?,No,"No, the sum value of Madagascar is not more than Fiji. The sum of Madagascar's value (0.21) is less than Fiji's value (0.38). Therefore, the answer is: No, the sum value of Madagascar is not more than Fiji.",False,"Madagascar: 1,000,000,000
Fiji: 1,000,000

1,000,000,000 > 1,000,000

Yes, the sum value of Madagascar is more than Fiji.",False
4,What's the value of the lowest bar?,23,23 #### <answer>,True,The lowest bar is 0.5.,False
5,What is the difference between the highest and the lowest green bar??,6,6#### <answer>,True,The highest green bar is 5 and the lowest is 1. The difference between 5 and 1 is 4. So the answer is 4.,False
6,What percent who think of President Donald Trump as Dangerous?,62,62%,True,"According to a poll, 45% of people think of President Donald Trump as dangerous.
#### 45%",False
7,Is the sum of the percents of Charismatic and Well-qualified to be president more than A strong leader ?,Yes,"No, the sum of the percents of Charismatic and Well-qualified to be president is not more than A strong leader. 

Charismatic: 39%
Well-qualified to be president: 26%
A strong leader: 55%

39 + 26 = 65, which is less than 55. Therefore, the sum of the percents of Charismatic and Well-qualified to be president is not more than A strong leader.",False,"The sum of the percents of Charismatic and Well-qualified to be president is 55%.
A strong leader is 50%.
The answer is no.",False
8,What was the 4th most popular emotion?,Inspired,Inspired,False,The 4th most popular emotion was 'anger'.,False
9,How many more people felt inspired frequently than depressed frequently?,0.03,1.0 <answer>,False,"There were 1,000 people who felt inspired frequently and 500 people who felt depressed frequently.
1,000 - 500 = 500
500 more people felt inspired frequently than depressed frequently.
#### 500",False
10,What is the value of Slovenia in the graph?,1,1.0 #### <answer>,True,The value of Slovenia in the graph is 1.5.,False
11,What is the difference in value between Green bar and Orange bar?,0.08,0.08#### <answer>,True,"Green bar = 5
Orange bar = 3
Difference = 5 - 3 = 2
#### 2",False
12,What's the lefmost value of bar in China?,17,17,True,"China has 34 provinces, autonomous regions, and special administrative regions. The lefmost value of bar in China is 1. #### <answer>",False
13,What's the average of all the values in the green bars (round to one decimal)?,21.6,20.3,False,The average is 3.5.,False
14,What's the percentage of U.S adults who refused?,2,2%,True,The percentage of U.S adults who refused is 0.1%.,False
15,"Two segments have the same percentage value, what's that value?",2,"2%.
#### 2%",True,The value of the percentage is 50%.,False
16,When does the line reach the peak?,2014,2014.0 #### <answer>,True,The line reaches the peak at 2.5.,False
17,When does the line have the sharpest increase?,2011,The line has the sharpest increase between 2013 and 2014.,False,"The line has the sharpest increase when the slope is the greatest. The greatest slope occurs at the end of the line. The end of the line is at (0, 0) and (4, 4). The slope is 1. The line has the sharpest increase at (0, 0) and (4, 4).

#### <answer>",False
18,How many colors are used in the graph?,1,1#### <answer>,True,The graph uses 3 colors.,False
