problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige initially had 7 goldfish + 12 catfish = 19 fishes in the pond.
Now she has 15 fishes left.
Therefore, 19 fishes - 15 fishes = 4 fishes disappeared.
#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after they found 30 more pounds of strawberries. Let's break down the information given:

1. Marco and his dad collected strawberries that weighed 22 pounds.
2. They found 30 more pounds of strawberries.
3. Marco's strawberries now weigh 36 pounds.

We can set up the equation as follows:

Marco's strawberries + Dad's strawberries + Found strawberries = Total weight of strawberries

36 + Dad's strawberries + 30 = 22 + 30

Let's simplify and solve for Dad's strawberries:

36 + Dad's strawberries + 30 = 52

Combine like terms:

Dad's strawberries + 66 = 52

To isolate Dad's strawberries, we subtract 66 from both sides of the equation:

Dad's strawberries = 52 - 66

Dad's strawberries = -14

Since the weight of strawberries cannot be negative, there seems to be an error in the problem statement or the given information. Please double-check the problem statement for accuracy.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drinks 4 soda bottles a day.

Step 1: Identify the total number of soda bottles Debby bought.
Debby bought 256 soda bottles.

Step 2: Identify the number of soda bottles Debby drinks per day.
Debby drinks 4 soda bottles per day.

Step 3: Calculate the number of days the soda bottles would last.
To find out how many days the soda bottles would last, we divide the total number of soda bottles by the number of soda bottles Debby drinks per day.
256 soda bottles / 4 soda bottles per day = 64 days

Therefore, the soda bottles would last for 64 days.

#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"Olivia had 106 dollars in her wallet.
After visiting the supermarket and the showroom, she had 26 dollars left.
She spent 49 dollars at the showroom.
To find out how much she spent at the supermarket, we subtract the amount she had left from the amount she had initially.
So, 106 - 26 = 80 dollars.
Therefore, Olivia spent 80 dollars at the supermarket.
#### 80.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To find out how many pencils Faye has, we need to multiply the number of rows by the number of pencils in each row. 

Step 1: Identify the number of rows and the number of pencils in each row.
- Number of rows: 30
- Number of pencils in each row: 24

Step 2: Multiply the number of rows by the number of pencils in each row.
- Total number of pencils = 30 rows * 24 pencils per row

Step 3: Perform the multiplication.
- Total number of pencils = 720

Therefore, Faye has 720 pencils.

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,Doug had 45 - 10 = 35 marbles. Doug had 35 - 11 = 24 marbles. Ed had 45 - 24 = 21 more marbles than Doug. #### 21,text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Identify the initial number of children on the bus, which is 26.
Step 2: Identify the number of children who got on the bus at the bus stop, which is 38.
Step 3: Add the initial number of children to the number of children who got on the bus to find the total number of children on the bus now.

26 + 38 = 64

#### <answer> 64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

1. Helen baked 31 cookies yesterday.
2. Helen baked 270 cookies this morning.
3. Helen baked 419 cookies the day before yesterday.

To find the total, we add these numbers together:

31 (yesterday) + 270 (this morning) + 419 (the day before yesterday) = 720 cookies

Helen baked a total of 720 cookies till last night.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"First, we need to find out how many oranges are harvested per day. We do this by multiplying the number of sacks harvested per day by the number of oranges in each sack. 

66 sacks/day * 25 oranges/sack = 1650 oranges/day

Next, we need to find out how many oranges are harvested in 87 days. We do this by multiplying the number of oranges harvested per day by the number of days. 

1650 oranges/day * 87 days = 143550 oranges

Therefore, they will have 143550 oranges after 87 days of harvest. 

#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday. We know the machine made 9 shirts yesterday and 44 shirts today. The machine can make 3 shirts a minute.

First, let's find out how many shirts the machine made yesterday:
9 shirts

Next, let's find out how many shirts the machine made today:
44 shirts

Now, let's find out how many shirts the machine made in total:
9 shirts + 44 shirts = 53 shirts

Finally, let's find out how many minutes the machine worked yesterday:
53 shirts / 3 shirts per minute = 17.67 minutes

Since the machine cannot work for a fraction of a minute, we round up to the nearest whole number:
18 minutes

Therefore, the machine worked for 18 minutes yesterday.
#### 18",neither
