problem_id,question,reference,pred_multimodal,correct_multimodal,pred_text,correct_text
0,"which of these define dairy item

A) c
B) D
C) b
D) a",B,B,True,B,True
1,"which of these define oil

A) b
B) a
C) d
D) k",D,C,False,A) b,False
2,"According to the given food chain what would happen if phytoplankton decreases?

A) Seal population will become extinct
B) Fish population would decrease.
C) Whale population would decrease.
D) Penguin population would increase.",B,B,True,B,True
3,"According to the given food chain, which is the smallest organism?

A) krill
B) whale
C) Phytoplankton
D) leopard",C,A,False,C,True
4,"Based on the given diagram answer the following question. What would happen to the elephant seal population if there were no whales?

A) Increase
B) None of these
C) Neither increase nor decrease
D) Decrease",A,D,False,D,False
5,"Based on the given diagram, the penguin is a

A) Decomposer
B) Predator
C) Herbivore
D) Plant",B,B,True,B,True
6,"The diagram below shows a food chain. If the smaller toothed whales ate all the leopard seals, the population of krills would most likely.

A) remain the same
B) decrease
C) increase
D) NA",C,B,False,C,True
7,"What could happen that would increase the number of krill?

A) increase in phytoplankton
B) decrease in penguins
C) increase in fish
D) increase in birds",A,A,True,A,True
8,"What event will probably cause the elephant seal population to increase?

A) an increase in whales
B) a decrease in penguins
C) a decrease in birds
D) an increase in fish",D,B,False,D,True
9,"Which animal is at the top of this food chain?

A) leopard seal
B) baleen whale
C) smaller toothed whales
D) penguins",C,B,False,B,False
10,"Which would be most directly affected if all the baleen whales were removed?

A) phytoplankton
B) smaller toothed whales
C) penguins
D) birds",B,B,True,B,True
11,"In the diagram which letter shows the Adulte?

A) C
B) A
C) D
D) B",A,A,True,B) A,True
12,"What stage in the diagram corresponds to letter D?

A) oeuf
B) pupae
C) chrysalide
D) chenille",C,B,False,C,True
13,"Larvae turn into what form?

A) Ovums
B) Exoskeletons
C) Eggs
D) Adults",D,D,True,D,True
14,"This diagram shows the life cycle of an insect. What is the order of the insect's life stages, from youngest to oldest?

A) B-A-C
B) C-A-B
C) A-B-C
D) B-C-A",C,C,True,C) A-B-C,True
15,"Which stage is egg here ?

A) C
B) B
C) D
D) A",D,D,True,B,False
16,"which stage is adult here ?

A) D
B) B
C) C
D) A",C,C,True,B,False
17,"What is the expanded part of a leaf or petal?

A) blade
B) cordate
C) none of the above
D) petiole",A,A,True,A) blade,True
18,"What is the region that represents the centriole?

A) k
B) b
C) a
D) d",A,A) k,True,B) b,False
19,"What is the region that represents the vacuole?

A) d
B) c
C) a
D) f",D,D,True,C) a,False
20,"Where the double-layered membrane enclosing the nucleus of a cell is known as?

A) Cytoplasm
B) Nuclear membrane
C) Mitochondria
D) Vacuole",B,B,True,B) Nuclear membrane,True
21,"What does the bird feed on/

A) zooplankton
B) grass
C) predator fish
D) none of the above",C,C,True,A,False
22,"What does the carnivore fish feed on?

A) grass
B) herbivore fish
C) plankton
D) none of the above",B,B,True,C,False
23,"What is at the highest of the food chain in this diagram?

A) shrimp
B) hawk
C) small fish
D) big fish",B,B,True,B) hawk,True
24,"What is at the lowest of the food chain in this diagram?

A) shrimp
B) big fish
C) hawk
D) small fish",A,A,True,D,False
25,"Which of the following correctly characterizes energy flow in the diagram?

A) Fish to bird
B) Bird to krill
C) Fish to krill
D) None of these",A,C,False,C,False
26,"Which organism sits at the bottom of the food chain seen above?

A) Bird
B) None of these
C) Fish
D) Krill",D,D,True,D,True
27,"What is a producer?

A) B
B) A
C) C
D) D",B,B,True,A) B,True
28,"What is at the top of the food web?

A) d
B) b
C) c
D) a",A,A,True,C,False
29,"What is energy

A) sun
B) C
C) B
D) A",A,A,True,A,True
30,"What would be directly affected if organism A was extinct?

A) none
B) B
C) D
D) C",B,D,False,B) B,True
31,"What would happen if oragnism D disappeared?

A) everything would stay the same
B) B would decrease
C) C would increase
D) you can't predict",C,C,True,D,False
32,"What would happen if organism A disappeared?

A) you can't predict it
B) c would increase
C) d would be extinct
D) b would decrease",D,D,True,C,False
33,"What would happen to organism A if organism B increased?

A) decrease
B) increase
C) can't predict
D) stay the same",A,A,True,C,False
34,"What would happen to organism c if organism b increased?

A) decrease
B) increase
C) can't predict
D) stay same",B,A,False,C,False
35,"How many stages are in this cycle?

A) 2
B) 4
C) 5
D) 3",B,B,True,C,False
36,"How many stages are shown in the diagram?

A) none of the above
B) 5
C) 4
D) 6",C,C,True,C,True
37,"Mealworms are the larva of various beetles of the genus Tenebrio. Which stage represents the mealworm?

A) D
B) B
C) C
D) A",B,D,False,C,False
38,"What is the stage after egg?

A) adult
B) pupa
C) mealworm
D) none of the above",C,B,False,A,False
39,"What stage comes after egg?

A) beetle
B) caterpillar
C) pupa
D) mealworm",D,B,False,C,False
40,"During which step is the egg  released from the egg mass?

A) C
B) D
C) A
D) E",C,D,False,C,True
41,"In the diagram it show the growth of a frog, does stage C show?

A) tadpole with head
B) Tadpoles with legs
C) mouth
D) Young frog",B,D,False,D,False
42,"The diagram depicts the life cycle of:

A) Frog
B) Pestisides
C) Insecticides
D) Insects",A,A,True,D,False
43,"What is shown by stage E?

A) egg mass
B) larva
C) tadpole
D) adult frog",A,A,True,A) egg mass,True
44,"Which stage is next to the Egg Mass?

A) Young Frog
B) Tadpole
C) Adult Frog
D) Frog",B,B,True,B,True
45,"How many stages are in the development of a mosquito?

A) 2
B) 4
C) 1
D) 0",B,B,True,B) 4,True
46,"What stage is represents the egg?

A) D
B) C
C) A
D) B",A,B,False,A) D,False
47,"How many quarters see the half moon?

A) 3
B) 1
C) 2
D) 4",C,C,True,"To solve this problem, let's break it down step by step:

1. **Identify the total number of quarters**: A quarter is worth 25 cents. There are 4 quarters in a dollar.

2. **Determine the total number of quarters**: Since there are 4 quarters in a dollar, and we want to find out how many quarters make up half of a dollar, we divide the total number of quarters by 2.

3. **Perform the division**: 
   - Total quarters = 4
   - Half of a dollar = 25 cents
   - Number of quarters = 25 cents / 25 cents per quarter = 1 quarter

Therefore, the correct answer is **B) 1**.",False
48,"What is the new moon in the diagram?

A) A
B) none of the above
C) C
D) B",D,D,True,C,False
49,"Which letter shows the lunar phase that occurs when the Moon is completely illuminated as seen from the Earth?

A) D
B) A
C) B
D) E",D,C,False,B,False
50,"Which phase describes the point at which the moon appears nearly invisible in the sky?

A) third quarter half moon
B) new moon
C) full moon
D) first quarter half moon",B,B,True,B,True
51,"In the life cycle of the butterfly, what stage comes with after larva?

A) pupa
B) death
C) adult
D) egg",A,A,True,A,True
52,"In the life cycle shown to us, what stage comes after pupa?

A) death
B) egg
C) larva
D) adult",D,D,True,C,False
53,"What comes before pupa according to the diagram?

A) none of the above
B) adult
C) eggs
D) larva",D,D,True,D,True
54,"What stage is shown in C in the diagram?

A) none of the above
B) pupa
C) larva
D) egg",B,B,True,C,False
55,"Which label refers to the adult stage?

A) D
B) E
C) B
D) C",A,A,True,B,False
56,"Which label refers to the larva stage?

A) D
B) B
C) C
D) E",B,B,True,C,False
57,"WHAT IS A LABEL A REPRESENT  IN THE ABOVE DIAGRAM?

A) TOTAL
B) FULL
C) ANNULAR
D) PARTIAL",A,A,True,C,False
58,"According to the food web, what is the source of energy for the squirrel?

A) grass
B) black bear
C) caribou
D) bob cat",A,A,True,A,True
59,"According to the food web, what will happen if the grass dried up due to extreme heat?

A) Black bears would increase
B) Squirrel population would increase
C) Squirrel population would decrease
D) none of the above",C,C,True,C,True
60,"Base your answers on the diagram below and on your knowledge of science. Which are the organisms are herbivores?

A) squirrel, bobcat, blackbear
B) caribou, moose, bobcat
C) squirrel, caribou, moose
D) caribou, moose, blackbear",C,C,True,C,True
61,"From the above food web diagram, if all the grass dies then population of squirrel will

A) decrease
B) remains the same
C) increase
D) NA",A,A,True,A,True
62,"From the above food web diagram, what will cause moose to increase

A) decrease in evergreen
B) decrease in bobcar
C) increase in bobcat
D) increase in evergreen",D,D,True,D,True
63,"From the above food web diagram, which species provide energy

A) caribou
B) moose
C) grass
D) squirrel",C,C,True,C,True
64,"In the given food web, which organism consume higher number of prey?

A) bobcat
B) blackbear
C) graywolf
D) caribou",B,B,True,C,False
65,"In the given food web, which organism have no predator?

A) blackbear
B) caribou
C) squirrel
D) moose",A,B,False,B,False
66,"In the given terrestrial food web, which organisms are known as primary source of energy?

A) evergreen, black spruce&moose
B) grass, evergreen&black spruce
C) black spruce, moose&grass
D) grass, evergreen&squirrel",B,B,True,B,True
67,"What is a primary consumer?

A) black bear
B) bobcat
C) hawk owl
D) caribou",D,D,True,D,True
68,"What is at the top of the food chain?

A) caribous
B) black bear
C) evergreen
D) grass",B,B,True,B,True
69,"From the above food chain diagram, increase in number of sheep leads to

A) decrease in wolf
B) increase in wolf
C) increase in deer
D) decrease in owl",B,B,True,B,True
70,"From the above food chain diagram, which species is secondary consumer

A) deer
B) wolf
C) owl
D) sheep",B,B,True,B,True
71,"From the above food web diagram, which species increase if all the owl dies

A) deer
B) sheep
C) rat
D) cricket",C,C,True,A,False
72,"From the above food web diagram, which species is the tertiary consumer

A) sheep
B) cricket
C) owl
D) deer",C,C,True,C,True
73,"What grass a primary food source for?

A) rat
B) wolf
C) sheep
D) owl",C,C,True,C,True
74,"What would be most impacted if all the owls disappeared?

A) deer
B) rats
C) grass
D) sheep",B,D,False,A) deer,False
75,"What would happen if the deer population increased?

A) grass would decrease
B) owl would increase
C) wolf would decrease
D) grass would increase",A,A,True,A,True
76,"What would happen if there was a sudden decrease in grass?

A) sheep would thrive
B) you can't predict it
C) crickets would die
D) owls would be extinct",C,C,True,C,True
77,"What would happen if there were less crickets?

A) the rats would die
B) there would be less deer
C) there would be less wolves
D) there would be less grass",A,C,False,C,False
78,"Which is a carnivore?

A) sheep
B) owl
C) grass
D) cricket",B,B,True,B,True
79,"Which is the end result of the process of growth?

A) E
B) C
C) J
D) F",A,C,False,C,False
80,"Which label shows the first stage of the life cycle?

A) J
B) C
C) E
D) F",A,D,False,B,False
81,"What organism does this diagram portray?

A) A ladybug
B) A wolf
C) A human
D) A plant",D,D,True,A) A ladybug,False
82,"What process does this diagram portray?

A) Life Cycle of a Plant
B) Water Cycle
C) Rock Cycle
D) Erosion",A,A,True,B) Water Cycle,False
83,"What label is represented by B ?

A) Legs
B) Compound eye
C) Mouthparts
D) Antennae",C,C,True,B,False
84,"Why is A necessary for living of a insect ?

A) A is used as a locomotion part by the insect
B) A is used to fly
C) A is used to see whats around it.
D) A is used to feed itself.",C,A,False,A,False
