problem_id,image_question,text_question,image_reference,text_reference,prediction,follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,27,4,"Paige initially had 7 goldfish + 12 catfish = 19 fishes in the pond. Now she has 15 fishes left. Therefore, 19 fishes - 15 fishes = 4 fishes disappeared. #### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,4,16,"To solve this problem, we need to determine the weight of Marco's dad's strawberries after they found 30 more pounds of strawberries. Let's break down the information given:

1. Marco and his dad collected strawberries that weighed 22 pounds.
2. They found 30 more pounds of strawberries.
3. Marco's strawberries now weigh 36 pounds.

We can set up the equation as follows:

Marco's strawberries + Dad's strawberries + Found strawberries = Total strawberries

36 + Dad's strawberries + 30 = 22 + 30

Let's simplify and solve for Dad's strawberries:

36 + Dad's strawberries + 30 = 52

Combine like terms:

Dad's strawberries + 66 = 52

To isolate Dad's strawberries, we subtract 66 from both sides of the equation:

Dad's strawberries = 52 - 66

Dad's strawberries = -14

Since the weight of strawberries cannot be negative, there seems to be an error in the problem statement. The correct answer should be:

Dad's strawberries = 52 - 66

Dad's strawberries = -14

However, since the weight of strawberries",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,16,64,"To solve this problem, we need to determine how many days the soda bottles would last if Debby drank 4 soda bottles a day.

Step 1: Calculate the total number of soda bottles Debby bought.
Total soda bottles = 256

Step 2: Calculate the number of days the soda bottles would last if Debby drank 4 soda bottles a day.
Number of days = Total soda bottles / Soda bottles per day
Number of days = 256 / 4

Number of days = 64

#### 64",text
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,64,31,"To solve this problem, we need to determine how much Olivia spent at the supermarket. We know that she had 106 dollars initially and had 26 dollars left after visiting the supermarket and the showroom. 

First, let's find out how much she spent in total:
Total spent = Initial amount - Amount left
Total spent = 106 dollars - 26 dollars
Total spent = 80 dollars

Next, we know that she spent 49 dollars at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total spent:
Amount spent at the supermarket = Total spent - Amount spent at the showroom
Amount spent at the supermarket = 80 dollars - 49 dollars
Amount spent at the supermarket = 31 dollars

Therefore, Olivia spent 31 dollars at the supermarket.

#### 31",text
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,31,720,"To solve this problem, we need to determine the total number of pencils Faye has. We know that there are 30 rows, and each row contains 24 pencils. 

Let's break it down step by step:

1. Determine the number of rows: 30 rows
2. Determine the number of pencils per row: 24 pencils
3. Multiply the number of rows by the number of pencils per row to find the total number of pencils.

Calculation:
30 rows * 24 pencils per row = 720 pencils

Therefore, Faye has 720 pencils.

#### 720",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,720,21,"Doug had 45 - 10 = 35 marbles. Doug had 35 - 11 = 24 marbles. Ed had 45 - 24 = 21 more marbles than Doug. 

#### 21",text
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,21,64,"Step 1: Identify the initial number of children on the bus, which is 26.
Step 2: Identify the number of children who got on the bus at the bus stop, which is 38.
Step 3: Add the initial number of children to the number of children who got on the bus to find the total number of children on the bus now.

Calculation:
26 (initial children) + 38 (children who got on) = 64 (total children on the bus now)

#### <answer>64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,64,450,"To find the total number of cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

1. Helen baked 31 cookies yesterday.
2. Helen baked 270 cookies this morning.
3. Helen baked 419 cookies the day before yesterday.

Adding these together:

31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 720 cookies

Helen baked a total of 720 cookies till last night.

#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,450,143550,"To solve this problem, we need to calculate the total number of oranges harvested over 87 days. We know that they harvest 66 sacks per day and each sack contains 25 oranges. 

First, let's find out how many oranges are harvested in a day:
66 sacks/day * 25 oranges/sack = 1650 oranges/day

Next, we'll calculate the total number of oranges harvested over 87 days:
1650 oranges/day * 87 days = 143550 oranges

Therefore, after 87 days of harvest, they will have 143550 oranges.

#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,143550,3,"To solve this problem, we need to determine how many minutes the machine worked yesterday. We know the machine made 9 shirts yesterday and 44 shirts today. The machine can make 3 shirts per minute. Let's break down the information given:

- Number of shirts made yesterday: 9
- Number of shirts made today: 44
- Number of shirts made per minute: 3

First, we need to find out how many shirts the machine made in total:

Total shirts made = Shirts made yesterday + Shirts made today
Total shirts made = 9 + 44
Total shirts made = 53

Next, we need to find out how many minutes the machine worked yesterday. We can do this by dividing the total number of shirts made yesterday by the number of shirts made per minute:

Minutes worked yesterday = Shirts made yesterday / Shirts made per minute
Minutes worked yesterday = 9 / 3
Minutes worked yesterday = 3

Therefore, the machine worked for 3 minutes yesterday.

#### 3",text
10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,3,460,"To find the total number of magazines, we need to multiply the number of magazines per bookshelf by the number of bookshelves. 

46 magazines/bookshelf * 10 bookshelves = 460 magazines

Bryan has 460 magazines in total. 

#### 460",text
11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,460,1,"Dave had 17 apps on his phone. After adding some, he had 18 left. To find out how many apps he added, we subtract the initial number of apps from the final number of apps. 

17 apps (initial) - 18 apps (final) = -1 apps

Dave added -1 apps. However, since we can't have a negative number of apps, it means he actually removed 1 app. 

#### -1 <answer>",neither
12,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,1,13,"To solve this problem, we need to determine the total amount of money Dan spent on the candy bar and the chocolate. 

Step 1: Identify the cost of each item.
- The cost of the candy bar is $7.
- The cost of the chocolate is $6.

Step 2: Add the costs of the candy bar and the chocolate.
- Total cost = $7 (candy bar) + $6 (chocolate) = $13.

So, Dan spent $13 in total on the candy bar and the chocolate.

#### 13",text
13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,13,2,"To find the size of each group, we need to divide the total number of bananas by the number of groups. 

Step 1: Identify the total number of bananas and the number of groups.
Total number of bananas = 392
Number of groups = 196

Step 2: Divide the total number of bananas by the number of groups.
392 ÷ 196 = 2

Each group contains 2 bananas.

#### 2",text
14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,2,369,"To find out how much farther they need to travel, we need to subtract the current depth from the total depth of the cave. 

Total depth of the cave = 1218 feet
Current depth = 849 feet

Distance to travel = Total depth - Current depth
Distance to travel = 1218 feet - 849 feet
Distance to travel = 369 feet

Now, we need to find out how long it will take to travel this distance at a speed of 17 feet per minute.

Time = Distance / Speed
Time = 369 feet / 17 feet per minute
Time = 21.76 minutes

Since the question asks for the distance, not the time, the answer is:

#### 369 feet",text
15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,369,5,"To solve this problem, we need to determine how many people can ride the Ferris wheel at the same time, given that there are 4 seats on the wheel and 20 people can ride it.

Step 1: Identify the number of seats on the Ferris wheel.
- There are 4 seats on the Ferris wheel.

Step 2: Identify the total number of people who can ride the Ferris wheel.
- 20 people can ride the Ferris wheel at the same time.

Step 3: Divide the total number of people by the number of seats to find out how many people can ride each seat.
- 20 people / 4 seats = 5 people per seat.

Therefore, each seat on the Ferris wheel can hold 5 people.

#### 5",text
16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,5,136,"The farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes, he has 177 - 53 = 124 tomatoes left. He also has 12 potatoes left. Therefore, he has 124 + 12 = 136 tomatoes and potatoes left. #### 136",text
