problem_id,question,reference,pred_text,correct_text,error_text,pred_rendered,correct_rendered,error_rendered,pred_mismatch,mismatch_follows
0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"Step 1: Identify the number of bird families that flew away to Asia.
We are given that 35 bird families flew away to Asia.

Step 2: Identify the number of bird families that flew away to Africa.
We are given that 62 bird families flew away to Africa.

Step 3: Calculate the difference between the number of bird families that flew away to Africa and those that flew away to Asia.
To find the difference, we subtract the number of bird families that flew away to Asia from the number that flew away to Africa: 62 - 35 = 27.

Step 4: Determine the final answer.
The difference between the number of bird families that flew away to Africa and those that flew away to Asia is 27.

#### 27",True,correct,"There are 41 bird families living near the countries. If 35 bird families flew away to Asia and 6 bird families flew away to Africa, how many bird families flew away to Africa than those that flew away to Asia? 
#### 6",False,reasoning_error,"7 + 12 - 15 = 4
#### 4",text
1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"Step 1: First, let's find out how many fish Paige had before the stray cats ate any. She had 7 goldfish and 12 catfish, so the total number of fish she had is 7 + 12 = 19.

Step 2: Now, we know that after the stray cats ate some of the fish, Paige has 15 fish left. To find out how many fish disappeared, we need to subtract the number of fish she has left from the total number of fish she had. So, 19 - 15 = 4.

#### 4",True,correct,"Bagel raised 7 goldfish and 12 catfish in the pond. Now she has 15 left. How many fish may have disappeared? 
#### 15 - (7 + 12) = 15 - 19 = -4
The answer is -4.",False,arithmetic_error,"Step 1: First, we need to find out how much strawberries Marco's dad had before he found more. We know that Marco's strawberries weighed 36 pounds and the total weight of both of their strawberries is 22 pounds. So, we can find the weight of Marco's dad's strawberries by subtracting Marco's weight from the total weight.

Step 2: Subtract Marco's weight from the total weight to find the weight of his dad's strawberries.
36 - 22 = 14

Step 3: Now we know that Marco's dad's strawberries weighed 14 pounds before he found more. We also know that he found 30 more pounds of strawberries. To find the final weight of his dad's strawberries, we add the weight of the strawberries he found to the weight of his strawberries before he found more.

Step 4: Add the weight of the strawberries Marco's dad found to the weight of his strawberries before he found more.
14 + 30 = 44

Answer: 44.",neither
2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Step 1: First, let's find out how much Marco's strawberries weighed before his dad found more strawberries. We know that Marco's strawberries weighed 36 pounds after his dad found more strawberries. So, we can subtract the weight of the strawberries his dad found from the total weight to find the weight of Marco's strawberries. Marco's strawberries = 36 pounds - 30 pounds = 6 pounds.

Step 2: Now that we know Marco's strawberries weighed 6 pounds, we can find out how much his dad's strawberries weighed. We know that the total weight of the strawberries they collected together was 22 pounds. So, we can subtract the weight of Marco's strawberries from the total weight to find the weight of his dad's strawberries. Dad's strawberries = 22 pounds - 6 pounds = 16 pounds.

Step 3: Now we have the weight of Marco's strawberries and his dad's strawberries. We can add these two weights together to find the total weight of the strawberries his dad found. Total weight of dad's strawberries = 16 pounds + 30 pounds = 46 pounds.

#### 46",False,arithmetic_error,"Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back, Marco's dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did Marco's dad's strawberries weigh now? #### 36",False,reasoning_error,"256 - 4 = 252
252 / 4 = 63
Therefore, the soda bottles would last for 63 days.#### 63",neither
3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"Step 1: First, let's calculate how many water bottles Debby has left after drinking 312 water bottles. water_bottles_left = 200 - 312 = -112

Step 2: Since Debby can't have a negative number of water bottles, we need to assume that she had more than 200 water bottles. So, we will assume that she had 312 water bottles and drank 312 - 200 = 112 water bottles.

Step 3: Now, let's calculate how many days the soda bottles would last. soda_bottles_last = 256 / 4 = 64

Step 4: Since Debby drank 4 soda bottles a day, we need to divide the total number of soda bottles by the number of soda bottles she drank per day to find out how many days the soda bottles would last. days_soda_last = 64 / 4 = 16

#### 16",False,arithmetic_error,"Baby bought 200 water bottles and 256 soda bottles. When they were on sale, the drink 312 water bottles and 4 soda bottles a day. How many days would the soda bottles last? 
First, find out how many soda bottles Baby bought in total: 256 soda bottles
Next, find out how many soda bottles Baby drinks per day: 4 soda bottles
Now, divide the total number of soda bottles by the number of soda bottles Baby drinks per day: 256 soda bottles / 4 soda bottles per day = 64 days
#### 64",True,correct,"Step 1: First, we need to find out how much money Olivia had before she visited the supermarket and the showroom. We know that after these visits, she had 26 dollars left. So, we can calculate the initial amount by adding the money she spent at the showroom to the remaining amount.

Initial amount = Remaining amount + Money spent at the showroom
Initial amount = 26 dollars + 49 dollars
Initial amount = 75 dollars

Step 2: Now that we know Olivia initially had 75 dollars, we can find out how much she spent at the supermarket by subtracting the remaining amount from the initial amount.

Amount spent at the supermarket = Initial amount - Remaining amount
Amount spent at the supermarket = 75 dollars - 26 dollars
Amount spent at the supermarket = 49 dollars

So, Olivia spent 49 dollars at the supermarket. Therefore, the answer is 49.",neither
4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"To find out how much Olivia spent at the supermarket, we need to subtract the amount she spent at the showroom from the amount she had initially and then subtract the amount she had left.

Step 1: Subtract the amount she spent at the showroom from the initial amount.
Initial amount - Amount spent at showroom = Amount left after showroom
106 - 49 = 57

Step 2: Subtract the amount left after the showroom from the initial amount to find the amount spent at the supermarket.
Initial amount - Amount left after showroom = Amount spent at supermarket
106 - 57 = 49

So, Olivia spent 49 dollars at the supermarket. 

#### 49",False,arithmetic_error,"There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom, there were 26 dollars left. She spent 4 dollars at the showroom. How much did she spend at the supermarket? 
#### 80",False,reasoning_error,"24 * 30 = 720
Answer: 720.",text
5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"Step 1: First, we need to determine the total number of pencils Faye has. We know that there are 24 pencils in each row.

Step 2: Since there are 30 rows, we can multiply the number of pencils in each row by the number of rows to find the total number of pencils.

Step 3: Multiply 24 pencils by 30 rows to get the total number of pencils.

24 * 30 = 720

#### 720",True,correct,"Saye was placing her pencils and crayons into a box with 71 crayons and 4 pencils each row. How many pencils does she have? 
To find the total number of pencils Saye has, we need to multiply the number of pencils in each row by the number of rows. 
So, 4 pencils/row * 71 rows = 284 pencils. 
Therefore, Saye has 284 pencils. 
#### 284",False,arithmetic_error,"Step 1: Determine the initial number of marbles Doug had before losing any.
To find the initial number of marbles Doug had, we need to add the 11 marbles he lost back to the number of marbles he had after losing them. So, 45 (Ed's marbles) - 11 (marbles lost) = 34 marbles.

Step 2: Calculate the difference in the number of marbles between Ed and Doug.
To find out how many more marbles Ed had than Doug, we subtract the number of marbles Doug had from the number of marbles Ed had. So, 45 (Ed's marbles) - 34 (Doug's marbles) = 11 marbles.

Answer: Ed had 11 more marbles than Doug.",neither
6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Step 1: Determine the initial number of marbles Doug had before losing any.
Since Ed had 10 more marbles than Doug, and Ed had 45 marbles, we can set up the equation:
Doug's marbles + 10 = 45
Doug's marbles = 45 - 10
Doug's marbles = 35

Step 2: Calculate the number of marbles Doug had after losing 11 marbles.
Doug's marbles after losing = Doug's initial marbles - 11
Doug's marbles after losing = 35 - 11
Doug's marbles after losing = 24

Step 3: Find the difference in the number of marbles between Ed and Doug after Doug lost his marbles.
Difference = Ed's marbles - Doug's marbles after losing
Difference = 45 - 24
Difference = 21

#### 21",True,correct,"Ed had 10 more marbles than Doug. Doug lost 1 marble at the playground. If Ed had 45 marbles, how many more marbles did Ed have than Doug? 
#### 5",False,reasoning_error,"26 + 38 = 64
#### 64",text
7,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"Step 1: Start with the initial number of children on the bus, which is 26.
Step 2: Add the number of children who got on the bus at the bus stop, which is 38.
Step 3: Add the two numbers together to find the total number of children on the bus now.

26 + 38 = 64

#### 64",True,correct,"26 children were riding on the bus. At the bus stop, 38 more children got on the bus. How many children are on the bus now? 
First, we need to add the number of children who were already on the bus to the number of children who got on at the bus stop. 
26 (children already on the bus) + 38 (children who got on at the bus stop) = 64
So, there are 64 children on the bus now. 
#### 64",True,correct,"To find out how many cookies Helen baked till last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday. 

Yesterday: 31 cookies
This morning: 270 cookies
Day before yesterday: 419 cookies

Total cookies baked = 31 + 270 + 419
Total cookies baked = 720

Helen baked 720 cookies till last night.#### 720",neither
8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"Step 1: First, let's add up the number of cookies Helen baked yesterday, this morning, and the day before yesterday.
yesterday: 31 cookies
this morning: 270 cookies
day before yesterday: 419 cookies

Step 2: Now, let's add the number of cookies from each day.
31 + 270 + 419 = 720

Step 3: Helen baked 720 cookies in total till last night. 

#### 720",False,arithmetic_error,"When the hippan and her friendsa preparing for Thanksgiving at Helen's house, Helen baked 31 cookies yesterday, 270 cookies this morning and 419 cookies the day before yesterday. How many cookies Helen bake till last night? 
#### 720",False,reasoning_error,"66 * 25 = 1650
1650 * 87 = 143550
Therefore, they will have 143550 oranges after 87 days of harvest.#### 143550",text
9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"Step 1: First, we need to find out how many oranges are harvested in one day. We know that they harvest 66 sacks per day and each sack contains 25 oranges. So, the number of oranges harvested in one day is 66 * 25 = 1650 oranges.

Step 2: Now, we need to find out how many oranges they will have after 87 days of harvest. We can do this by multiplying the number of oranges harvested in one day by the number of days. So, the total number of oranges after 87 days is 1650 * 87 = 143550 oranges.

#### 143550",True,correct,"He went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack contains 25 oranges. How many oranges will they have after 87 days of harvest? 
#### 66 * 25 = 1650
#### 1650 * 87 = 143550
The answer is 143550.",False,arithmetic_error,"Step 1: First, let's find out how many shirts the machine made in total.
Total shirts made = 9 (yesterday) + 44 (today) = 53 shirts
Step 2: Now, let's find out how many minutes the machine worked today.
Shirts made today = 44
Shirts made per minute = 3
Minutes worked today = Shirts made today / Shirts made per minute = 44 / 3 = 14.67 minutes
Step 3: Now, let's find out how many minutes the machine worked yesterday.
Shirts made yesterday = 9
Shirts made per minute = 3
Minutes worked yesterday = Shirts made yesterday / Shirts made per minute = 9 / 3 = 3 minutes
Step 4: Finally, let's add the minutes worked yesterday and today to find the total minutes worked.
Total minutes worked = Minutes worked yesterday + Minutes worked today = 3 + 14.67 = 17.67 minutes
Answer: 17.67.",neither
